127.0.0.1 - - [20/Feb/2017:12:21:29 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:21:30 +0530] "GET /HIS_API/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:23:57 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:23:59 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:26:50 +0530] "GET /HIS_API/rest/Category/getAllCategories/ HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:26:50 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories/ HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:26:50 +0530] "GET /HIS_API/rest/SpecimenType/getAllSpecimenTypes/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:26:51 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 15717
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:26:53 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:27:03 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:27:04 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:27:56 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:27:57 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:08 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:14 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:14 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:14 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:15 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:15 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:12:28:15 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:38 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:39 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:39 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:39 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:39 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:13:14:39 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:03 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:03 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeeByID/1 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:03 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:03 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:03 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:04:04 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:08 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:08 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:30 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:30 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:30 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:30 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:30 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:31 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:32 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/72 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:33 +0530] "GET /HIS_API/rest/Queue/getCurrentInPatient/1 HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:33 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:33 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/72 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:33 +0530] "GET /HIS_API/rest/LabTestRequest/getRequestsByPatientID/72 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:31:42 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:33:42 +0530] "POST /HIS_API/rest/AdmissionRequest/addAdmissionRequest HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:14 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:14 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:14 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:20 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:20 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:20 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:20 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:24 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:24 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:24 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:24 +0530] "GET /HIS_API/rest/Admission/getWardAdmission HTTP/1.1" 200 86360
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:29 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:29 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeeByID/1 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:29 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Feb/2017:14:35:29 +0530] "GET /HIS_API/rest/HrEmployee/getEmployeesWard/1 HTTP/1.1" 200 12
