127.0.0.1 - - [23/Mar/2017:08:31:08 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:10 +0530] "GET /HIS_API/ HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:27 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:28 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:28 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:28 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:28 +0530] "GET /HIS_API/rest/Queue/getTreatedPatients/1 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:29 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:29 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:31:29 +0530] "GET /HIS_API/rest/LabTestRequest/getAllLabTestRequests HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:03 +0530] "GET /HIS_API/rest/LabType/getAllLabTypes HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:03 +0530] "GET /HIS_API/rest/LabDepartments/getAllLabDepartments HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:03 +0530] "GET /HIS_API/rest/Laboratories/getAllLaboratories HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:09 +0530] "GET /HIS_API/rest/SampleCenterType/getAllSampleCenterTypes HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:09 +0530] "GET /HIS_API/rest/SampleCenters/getAllSampleCenters HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:14 +0530] "GET /HIS_API/rest/Category/getAllCategories HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:14 +0530] "GET /HIS_API/rest/SubCategory/getAllSubCategories HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:32:15 +0530] "GET /HIS_API/rest/TestNames/getAllTests HTTP/1.1" 200 16085
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "POST /HIS_API/rest/UserService/userValidation HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-03-23/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "GET /HIS_API/rest/UserService/getUserByUsrID/2 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/2 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "GET /HIS_API/rest/Queue/getUserQStatus/1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:17 +0530] "GET /HIS_API/rest/Queue/getQueueType HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:23 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 111948
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/74 HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:34 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/74 HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:37 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 111948
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:40 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:40 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/13 HTTP/1.1" 200 3780
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:43 +0530] "GET /HIS_API/rest/OutPatient/getAllPatients HTTP/1.1" 200 111948
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:49 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:49 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/OutPatient/getPatientsByPID/75 HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/Queue/isPatientInQueue/75 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/HrAttandanceService/getAllAttendanceByDept/2017-03-23/5/1 HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [23/Mar/2017:08:33:52 +0530] "GET /HIS_API/rest/Queue/getQueuePatientsByUserID/1 HTTP/1.1" 200 12
